,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist,cluster
6435,All-4-One,All-4-One,I Swear,4WUnM4KNZ0kjp0CUeoyOnS,0.532,0.407,6,-9.658,0,0.0233,0.235,0.0,0.117,0.23,83.207,259853,4,all_out_90,2
6436,Texas,White On Blonde,Say What You Want,4MIB4aXVS0M0KNVcbQlyOP,0.633,0.841,4,-5.932,1,0.0702,0.2,0.0,0.396,0.803,95.888,233867,4,all_out_90,1
6437,Mariah Carey,#1 to Infinity,"I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992",2fXNIyzcOjc5Otknzsfi2O,0.216,0.544,5,-8.132,1,0.0431,0.663,0.0,0.882,0.301,75.017,264240,4,all_out_90,8
6438,UB40,Promises And Lies,(I Can't Help) Falling In Love With You,7ojJ4XvqBhBcteM0zjMebT,0.642,0.722,2,-13.031,1,0.0375,0.0444,0.00388,0.122,0.836,172.406,207440,4,all_out_90,1
6439,CeCe Peniston,Finally,Finally,0uqvSVhGgQTIdj9G51vhvv,0.791,0.658,7,-11.128,1,0.0445,0.00653,0.0,0.0472,0.842,120.066,245000,4,all_out_90,5
6440,Shanice,Inner Child,I Love Your Smile,69mFxANpGyq9s69LqH3d9G,0.722,0.842,5,-8.745,0,0.126,0.00955,8.45e-06,0.178,0.751,93.954,257973,4,all_out_90,0
6441,Lou Bega,King of Mambo,Mambo No. 5 (A Little Bit of...),5lA6mFOvaiienokVbTZEQx,0.607,0.802,5,-6.849,0,0.403,0.107,0.0,0.305,0.901,174.201,219600,4,all_out_90,4
6442,Des'ree,Supernatural,Life,5LGqFIVBf3ZUeFBpc87CFS,0.721,0.74,1,-5.453,1,0.0416,0.112,4.12e-05,0.0848,0.714,104.815,216040,4,all_out_90,1
6443,Mariah Carey,Music Box,Hero,4FCb4CUbFCMNRkI6lYc1zI,0.501,0.378,4,-9.37,1,0.029,0.735,0.0,0.119,0.178,119.987,257733,4,all_out_90,2
6444,New Radicals,Maybe You've Been Brainwashed Too,You Get What You Give,1Cwsd5xI8CajJz795oy4XF,0.621,0.901,2,-5.396,1,0.0302,0.17,0.0,0.0875,0.744,113.967,300773,4,all_out_90,1
6445,Bryan Adams,Ultimate,"All For Love - From ""The Three Musketeers""",035aFnfIrO25Hy4PRP6GC7,0.408,0.569,2,-6.237,1,0.029,0.19,0.0,0.126,0.146,74.835,283707,4,all_out_90,1
6446,Seal,Best 1991 - 2004,Kiss from a Rose,0z5E34e7ZT3XKMYQNXh6tH,0.584,0.533,10,-7.11,0,0.0305,0.684,0.0,0.306,0.224,131.745,288427,3,all_out_90,7
6447,Sheryl Crow,Sheryl Crow,If It Makes You Happy,0lfPPoWG4b3OmhieJ2YDF0,0.541,0.692,7,-7.056,1,0.0278,0.0409,0.000178,0.108,0.303,95.446,324840,4,all_out_90,5
6448,OMC,How Bizarre,How Bizarre,6RT3PxDEQOa7m6tK502DNa,0.784,0.675,0,-7.718,1,0.049,0.261,1.4e-06,0.293,0.854,124.908,224053,4,all_out_90,1
6449,Whitney Houston,I Wish You Love: More From The Bodyguard,I Have Nothing - Film Version,76puoNshqjAAocKl5KbmpQ,0.486,0.448,7,-9.133,1,0.0342,0.757,0.0,0.0852,0.17,152.864,296040,3,all_out_90,7
6450,4 Non Blondes,"Bigger, Better, Faster, More !",What's Up?,7f0jXNMu2xjQUtmKMuWhGA,0.566,0.57,11,-9.875,0,0.0285,0.156,0.0,0.118,0.491,134.537,295493,4,all_out_90,0
6451,Spin Doctors,Pocket Full Of Kryptonite,Two Princes,4ePP9So5xRzspjLFVVbj90,0.543,0.912,7,-10.71,1,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,256733,4,all_out_90,5
6452,Take That,Take That Greatest Hits,How Deep Is Your Love,7pUARNBq1Puwna5LrAhosi,0.786,0.376,4,-14.285,1,0.0273,0.672,0.000611,0.186,0.437,99.992,221000,4,all_out_90,2
6453,Robyn,Det Bästa Med Robyn,Show Me Love - Radio Version,5KaggKyCa9QZk25z93D4Zs,0.648,0.623,6,-3.945,0,0.0305,0.077,0.0,0.324,0.715,90.986,228613,4,all_out_90,0
6454,Michael Jackson,The Essential Michael Jackson,Will You Be There - Single Version,36O7qmyKLHpUY6WdWh8M5g,0.413,0.626,6,-6.504,0,0.0735,0.511,0.000338,0.0845,0.435,82.971,220387,4,all_out_90,2
6455,Jennifer Lopez,Dance Again...The Hits,Waiting for Tonight,5jOvmh1DYmaiBPETL6HCRY,0.694,0.941,10,-6.108,0,0.0408,0.00224,0.0826,0.109,0.854,125.014,246507,4,all_out_90,0
6456,Eagle-Eye Cherry,Desireless,Save Tonight,7v02Sn9vYRQ6pc1lqhnkWY,0.548,0.742,0,-6.536,1,0.0337,0.000154,3.97e-05,0.109,0.583,119.496,236040,4,all_out_90,1
